canal,video,data,video_view,video_like,video_comment
Brunim Neet's,NOVA SÉRIE COM YOUTUBERS E MODS! CHEIO DE MISTÉRIOS E SEGREDOS! MINECRAFT SECRETO!,2022-09-06T21:00:04Z,147363,16985,1115
Brunim Neet's,ME TORNEI O MAIS RICO NO SERVIDOR DE YOUTUBERS - STONKSCRAFT O FILME,2022-05-23T17:00:02Z,115378,7080,372
Brunim Neet's,MOINHO NAS NOVAS MONTANHAS DO MINECRAFT 1.18!!! - Irmandade 2 - Ep.02,2021-12-05T21:00:00Z,94299,10462,590
Brunim Neet's,AVENTURA NA NOVA ATUALIZAÇÃO DO MINECRAFT 1.18!!! - Irmandade 2 - Ep.01,2021-12-01T20:00:00Z,77440,11111,382
Brunim Neet's,JUNTEI TODAS AS ESPADAS EM UMA NO MINECRAFT! - DripCraft Ep.20,2021-11-13T16:00:01Z,209784,19982,832
Brunim Neet's,BASE 100% SEGURA! CAMPO DE FORÇA CONTRA ROUBOS 😏- DripCraft Ep.19,2021-11-10T16:00:31Z,151078,17328,631
Brunim Neet's,QUE MOD OP! FIQUEI IMORTAL USANDO UMA MAGIA BÁSICA 🤯🤣 - DripCraft Ep.18,2021-11-08T16:00:09Z,141372,15044,321
Brunim Neet's,TROLLEI GERAL COM O SOCO DE ALCANCE INFINITO 🤣! - DripCraft Ep.17,2021-11-06T16:00:17Z,193976,18401,275
Brunim Neet's,CENTRAL DE TELETRANSPORTE QUE IMPRESSIONOU TODO O SERVER! - DripCraft Ep.16,2021-11-05T16:00:34Z,141251,15060,260
Brunim Neet's,QUEBREI O MOD COM ESSA FARM DE MANA COLOSSAL! - DripCraft Ep.15,2021-11-04T16:00:04Z,167718,16152,396
Brunim Neet's,COMO TER VIDA INFINITA NO MINECRAFT! A MAIOR DO SERVER! ❤️❤️❤️  - DripCraft Ep.14,2021-11-03T16:00:36Z,165163,15863,363
Brunim Neet's,FIZ UM TOTEM DA IMORTALIDADE INFINITO USANDO MAGIA! - DripCraft Ep.13,2021-11-02T16:00:32Z,160514,16995,169
Brunim Neet's,COLOQUEI O JAZZGHOST NO CRIATIVO SEM ELE QUERER!!! 🤣 - DripCraft Ep.12,2021-10-30T16:00:17Z,214089,20494,308
Brunim Neet's,CRIEI A ARMADURA PERFEITA! NADA MAIS ME MATA U.U - DripCraft Ep.11,2021-10-29T16:00:39Z,182381,18443,284
